Structure Number,Structure Name,Asset Class,Structure Type,Inventory Date,Section No.,Road No.,km,Total Length,Total Width,No of Spans,Bridge Type,Construction Date
K27_01N_IDB1796,R562 (K27) PEDESTRIAN BRIDGE,Bridge,Bridge,2012/10/17,01N,K27,52.62,227.32,2.50,2,Simply supported,2008/01/02
K4_01N_B4881,4881 over Labeleng to Akasiaboom Rail,Bridge,Bridge,2012/10/23,01N,K4,0.42,35.20,13.92,3,Simply supported,
K54_01N_B5186,River Bridge,Bridge,Bridge,2012/11/07,01N,K54,0.40,24.20,13.80,2,Continuous,
K69_01N_B4629,RIVER BRIDGE,Bridge,Bridge,2012/11/28,01N,K69,37.80,14.20,13.30,1,Simply supported,1984/01/02
K69_01N_B5356A,Rail Bridge A,Bridge,Bridge,2012/11/06,01N,K69,4.20,14.80,11.17,1,Continuous,
K69_01N_B5356B,Rail Bridge B,Bridge,Bridge,2012/11/06,01N,K69,4.20,30.60,13.20,3,Simply supported,
K69_01N_B5358,K69 (M10) over Pienaars River,Bridge,Bridge,2012/11/06,01N,K69,0.80,48.20,13.00,3,Continuous,
K73_01N_B3763A,Sand Spruit,Bridge,Bridge,2012/11/19,01N,K73,0.20,54.00,15.00,3,Frame,
K73_01N_B3763B,Sand Spruit,Bridge,Bridge,2012/11/19,01N,K73,0.20,54.00,11.30,3,Frame,2010/01/02
K8_01N_B2409,2409 over Wilderbeesthoek to Lynross Rail,Bridge,Bridge,2012/10/17,01N,K8,15.60,30.00,15.00,2,Simply supported,1973/01/02
K8_01N_B2953,2953 over Rosslyn Rail,Bridge,Bridge,2012/10/17,01N,K8,10.83,15.70,16.60,3,Continuous,1972/01/02
K8_01N_B4056A,4056A over Akasiaboom to Winternest Rail,Bridge,Bridge,2012/10/17,01N,K8,9.24,42.10,13.33,3,Continuous,1981/01/02
K8_01N_B4056B,4056B over Akasiaboom to Winternest Rail,Bridge,Bridge,2012/10/17,01N,K8,9.24,42.10,13.33,3,Continuous,1981/01/02
K8_01N_B4664A,4664(A) over Pretoria North to Meersig Rail,Bridge,Bridge,2012/10/16,01N,K8,0.88,46.20,14.15,4,Simply supported,
K8_01N_B4664B,4664(B) Pretoria North to Meersig Rail,Bridge,Bridge,2012/10/16,01N,K8,0.88,46.20,14.05,4,Simply supported,
K8_01N_B4725A,4725(A) over Apies River,Bridge,Bridge,2012/10/16,01N,K8,0.45,55.60,14.05,3,Cantilever with drop in spans,
K8_01N_B4725B,4725(B) over Apies River,Bridge,Bridge,2012/10/16,01N,K8,0.45,55.60,13.85,3,Cantilever with drop in spans,
P1_01_B4156,Road P1-1 over R.W.B. Pipes,Bridge,Bridge,2000/01/01,1,P1,,9.25,35.60,1,,
P1_01N_B4332,Rifle Range Road (M38) over the M1,Bridge,Bridge,2012/10/26,01N,P1,1.00,177.00,25.60,4,Continuous,1985/01/02
P1_01N_B4334,Columbine Ave,Bridge,Bridge,2012/10/23,01N,P1,47.40,56.00,33.40,2,Continuous,
P1_02N_B1015,P1-2 Hennops River Southbound Carriageway,Bridge,Bridge,2012/10/17,02N,P1,11.90,36.00,11.10,3,Continuous,
P1_02N_B2226,South Bound over P158/1,Bridge,Bridge,2012/10/19,02N,P1,4.50,121.20,12.50,4,Continuous,1966/01/02
P1_02N_B3401A,South Road Underpass,Bridge,Bridge,2012/11/21,02N,P1,4.20,39.10,13.10,3,Continuous,
P1_02N_B3808,"Link ""Y"" over P1-2",Bridge,Bridge,2012/10/19,02N,P1,6.60,130.00,12.10,4,Continuous,1986/01/02
P1_02N_B3809A,East Bound,Bridge,Bridge,2012/10/19,02N,P1,6.08,78.50,13.30,4,Continuous,1986/01/02
P1_02N_B3809B,M7 West Bound,Bridge,Bridge,2012/10/19,02N,P1,6.07,78.50,13.30,4,Continuous,1986/01/02
P1_02N_B3810,"Link ""V"" over Road P1-2",Bridge,Bridge,2012/10/19,02N,P1,5.80,141.10,12.10,4,Continuous,1986/01/02
P1_02N_B5008,Bridge on Route P1-2 (Road over P1-2),Bridge,Bridge,2012/10/19,02N,P1,3.00,190.70,7.50,5,Continuous,1987/01/02
P1_02N_B5497,SAMARAND ROAD BRIDGE (K101),Bridge,Bridge,2012/11/06,02N,P1,23.80,50.00,17.40,4,Continous and simply supported,
P1_02N_B59,Hennops River,Bridge,Bridge,2012/10/17,02N,P1,11.93,23.20,7.10,1,Truss,1901/01/02
P1_02N_B90,JUSKEI RIVER BRIDGE,Bridge,Bridge,2012/11/06,02N,P1,35.45,40.00,10.00,5,Continous and simply supported,
P1_03N_B1879,1879 over Tributary to Apies River,Bridge,Bridge,2012/11/06,03N,P1,13.98,24.80,13.96,3,Simply supported,1959/01/02
P1_03N_B3201,3201 D1919 over P1-3,Bridge,Bridge,2012/11/06,03N,P1,16.62,85.00,17.00,5,Simply supported,1979/01/02
P1_03N_B4171,4171 Rooival to Pienaarspoort Rail over P1-3,Bridge,Bridge,2012/11/06,03N,P1,10.38,187.20,10.60,4,Continuous,1981/01/02
P1_03N_B4172,4172 Brits to Pienaarspoort rail over P1-3,Bridge,Bridge,2012/11/06,03N,P1,9.04,117.10,14.90,5,Continuous,1980/01/02
P101_01N_B1505,Road over Rail Bridge near Endicott on the R42,Bridge,Bridge,2012/10/03,01N,P101,18.30,11.60,9.10,2,Simply supported,
P101_01N_IDB1612,Pipe Bridge over road near Nigel on R42,Bridge,Bridge,2012/10/17,01N,P101,19.80,47.40,2.45,1,Frame,
P103_01N_B2512,KAYA SANDS RIVER BRIDGE ,Bridge,Bridge,2012/11/13,01N,P103,12.05,27.50,14.50,1,Continous and simply supported,
P103_01N_B2733,KLEIN JUSKEI RIVER BRIDGE ,Bridge,Bridge,2012/11/13,01N,P103,7.10,32.00,29.60,2,Continous and simply supported,2010/01/02
P103_02N_B2118,Lindley Bridge 2118,Bridge,Bridge,2012/10/02,02N,P103,5.70,58.00,10.30,3,Simply supported,1966/01/02
P103_02N_B2221,Renosterspruit Bridge 2221,Bridge,Bridge,2012/10/02,02N,P103,12.20,17.10,11.90,1,Simply supported,1966/01/02
P103_02N_IDB1908,LINDLEY FARM BRIDGE B1,Bridge,Bridge,2012/11/01,02N,P103,8.60,10.00,20.00,2,Simply supported,
P111_01N_B5111,Rietfontein Bridge 5111,Bridge,Bridge,2012/10/11,01N,P111,0.70,87.90,6.50,4,Simply supported,
P119_01N_B2401,Edenvale Road Bridge,Bridge,Bridge,2012/11/05,01N,P119,1.40,40.80,44.00,2,Simply supported,1969/01/02
