Structure Number,Structure Name,Asset Class,Structure Type,Inventory Date,Section No.,Road No.,km,X-Coord,Y-Coord,Analysis Date,Total Cost
K8_01N_B4056A,4056A over Akasiaboom to Winternest Rail,Bridge,Bridge,2012/10/17,01N,K8,9.24,28.11,-25.63,2022/06/30,8520.00
K8_01N_B4056B,4056B over Akasiaboom to Winternest Rail,Bridge,Bridge,2012/10/17,01N,K8,9.24,28.11,-25.63,2022/06/30,9750.00
K8_01N_B4664A,4664(A) over Pretoria North to Meersig Rail,Bridge,Bridge,2012/10/16,01N,K8,0.88,28.18,-25.66,2022/06/30,49500.00
K8_01N_B4664B,4664(B) Pretoria North to Meersig Rail,Bridge,Bridge,2012/10/16,01N,K8,0.88,28.18,-25.66,2022/06/30,24000.00
K8_01N_B4725A,4725(A) over Apies River,Bridge,Bridge,2012/10/16,01N,K8,0.45,28.19,-25.66,2022/06/30,42450.00
K8_01N_B4725B,4725(B) over Apies River,Bridge,Bridge,2012/10/16,01N,K8,0.45,28.19,-25.66,2022/06/30,3077300.00
P1_01N_B3691,Klip River - R82,Bridge,Bridge Cellular,2016/05/17,1,P1,,27.99,-26.32,2022/06/30,48520.00
P1_01N_B4332,Rifle Range Road (M38) over the M1,Bridge,Bridge,2012/10/26,01N,P1,1.00,27.99,-26.26,2022/06/30,398560.00
P1_01N_B4334,Columbine Ave,Bridge,Bridge,2012/10/23,01N,P1,47.40,27.98,-26.27,2022/06/30,130950.00
P1_01N_IDC2331,drainage,Major Culvert,Culvert Major,2012/10/13,01N,P1,23.00,27.94,-26.47,2022/06/30,7640.00
P1_01N_IDC2332,drainage,Major Culvert,Culvert Major,2012/10/13,01N,P1,28.50,27.96,-26.43,2022/06/30,64912.00
P1_02N_B1015,P1-2 Hennops River Southbound Carriageway,Bridge,Bridge,2012/10/17,02N,P1,11.90,28.16,-25.83,2022/06/30,85830.00
P1_02N_B2226,South Bound over P158/1,Bridge,Bridge,2012/10/19,02N,P1,4.50,28.18,-25.77,2022/06/30,147950.00
P1_02N_B3401A,South Road Underpass,Bridge,Bridge,2012/11/21,02N,P1,4.20,28.09,-26.09,2022/06/30,15990.00
P1_02N_B3808,"Link ""Y"" over P1-2",Bridge,Bridge,2012/10/19,02N,P1,6.60,28.17,-25.78,2022/06/30,699390.00
P1_02N_B3809A,East Bound,Bridge,Bridge,2012/10/19,02N,P1,6.08,28.17,-25.78,2022/06/30,434750.00
P1_02N_B3809B,M7 West Bound,Bridge,Bridge,2012/10/19,02N,P1,6.07,28.17,-25.78,2022/06/30,509250.00
P1_02N_B3810,"Link ""V"" over Road P1-2",Bridge,Bridge,2012/10/19,02N,P1,5.80,28.17,-25.77,2022/06/30,3780.00
P1_02N_B5008,Bridge on Route P1-2 (Road over P1-2),Bridge,Bridge,2012/10/19,02N,P1,3.00,28.18,-25.77,2022/06/30,12000.00
P1_02N_B5470,RIET RIVER BRIDGE,Bridge,Bridge Cellular,2016/07/21,2,P1,26.50,28.14,-25.95,2022/06/30,53475.00
P1_02N_B5497,SAMARAND ROAD BRIDGE (K101),Bridge,Bridge,2012/11/06,02N,P1,23.80,28.15,-25.93,2022/06/30,14500.00
P1_02N_B59,Hennops River,Bridge,Bridge,2012/10/17,02N,P1,11.93,28.16,-25.83,2022/06/30,86200.00
P1_02N_B90,JUSKEI RIVER BRIDGE,Bridge,Bridge,2012/11/06,02N,P1,35.45,28.11,-26.03,2022/06/30,70175.00
P1_03N_B1879,1879 over Tributary to Apies River,Bridge,Bridge,2012/11/06,03N,P1,13.98,28.24,-25.57,2022/06/30,58000.00
P1_03N_B3201,3201 D1919 over P1-3,Bridge,Bridge,2012/11/06,03N,P1,16.62,28.25,-25.55,2022/06/30,2807880.00
P1_03N_B4171,4171 Rooival to Pienaarspoort Rail over P1-3,Bridge,Bridge,2012/11/06,03N,P1,10.38,28.22,-25.60,2022/06/30,16500.00
P1_03N_B4172,4172 Brits to Pienaarspoort rail over P1-3,Bridge,Bridge,2012/11/06,03N,P1,9.04,28.21,-25.61,2022/06/30,30000.00
P1_03N_B5499,5499 over tributary to Apies River,Bridge,Bridge Cellular,2016/04/01,,,,28.19,-25.66,2022/06/30,23500.00
P1_03N_IDC1661,Tributory to Apiesrivier,Major Culvert,Culvert Major,2012/10/31,03N,P1,34.90,28.28,-25.39,2022/06/30,343580.00
P1_03N_IDC2706,Tributary to Apies River C5,Major Culvert,Culvert Major,2012/11/21,03N,P1,23.20,28.26,-25.49,2022/06/30,98315.50
P1_03N_IDC2709,Tributary to Apies River C4,Major Culvert,Culvert Major,2012/11/21,03N,P1,20.90,28.25,-25.51,2022/06/30,95248.00
P1_03N_IDC2711,Tributary to Apies River C3,Major Culvert,Culvert Major,2012/11/21,03N,P1,16.40,28.25,-25.55,2022/06/30,72750.00
P1_03N_IDC2718,Tributary to Apies River C1,Major Culvert,Culvert Major,2012/11/21,03N,P1,8.40,28.21,-25.61,2022/06/30,248.00
P1_03N_IDC2778,Tributory to Apies River C2,Major Culvert,Culvert Major,2012/11/21,03N,P1,16.00,28.25,-25.56,2022/06/30,221746.00
P100_01N_IDC0640,Culvert at km 44.7 on Route P100,Major Culvert,Culvert Major,2012/09/26,01N,P100,44.20,29.06,-25.54,2022/06/30,0.00
P100_01N_IDC0683,Culvert at km 47.3 on route P100,Major Culvert,Culvert Major,2012/09/26,01N,P100,47.30,29.04,-25.52,2022/06/30,201330.00
P101_01N_B1156,Bridge over Blesbokspruit River,Bridge,Bridge Cellular,2016/08/17,1,P101,33.40,28.50,-26.39,2022/06/30,49360.00
P101_01N_B1505,Road over Rail Bridge near Endicott on the R42,Bridge,Bridge,2012/10/03,01N,P101,18.30,28.61,-26.30,2022/06/30,80630.00
P101_01N_IDB1612,Pipe Bridge over road near Nigel on R42,Bridge,Bridge,2012/10/17,01N,P101,19.80,28.49,-26.39,2022/06/30,43780.00
P101_01N_IDC0775,"Culvert (468), Tributary to Vogelstruisbult dam",Major Culvert,Culvert Major,2012/10/17,01N,P101,11.10,28.56,-26.35,2022/06/30,0.00
P101_01N_IDC0778,"Culvert (469), Tributary to Vogelstruisbult dam",Major Culvert,Culvert Major,2012/10/17,01N,P101,11.10,28.56,-26.35,2022/06/30,0.00
P101_01N_IDC0859,"Culvert (476), Tributary to Blesbokspruit",Major Culvert,Culvert Major,2012/10/18,01N,P101,7.00,28.59,-26.32,2022/06/30,0.00
P101_01N_IDC0864,"Culvert (505), Tributary to Dwars-in-die-wegvlei",Major Culvert,Culvert Major,2012/10/18,01N,P101,1.90,28.61,-26.28,2022/06/30,0.00
P101_02N_IDC0755,"Culvert (266), Tributary to Suikerbosrand river",Major Culvert,Culvert Major,2012/10/17,02N,P101,4.40,28.55,-26.47,2022/06/30,148060.00
P102_01N_IDC2572,Unlisted culvert,Major Culvert,Culvert Major,2012/10/18,01N,P102,5.90,28.08,-25.88,2022/06/30,34200.00
P102_01N_IDC2574,P102/1 (R114) Over Stream,Major Culvert,Culvert Major,2012/10/18,01N,P102,2.70,28.04,-25.90,2022/06/30,27540.00
P103_01N_B2461,Sands River Bridge,Bridge,Bridge Cellular,2016/07/07,1,P103,15.25,27.94,-26.01,2022/06/30,37010.00
P103_01N_B2512,KAYA SANDS RIVER BRIDGE ,Bridge,Bridge,2012/11/13,01N,P103,12.05,27.95,-26.04,2022/06/30,13380.00
P103_01N_B2733,KLEIN JUSKEI RIVER BRIDGE ,Bridge,Bridge,2012/11/13,01N,P103,7.10,27.97,-26.07,2022/06/30,67760.00
P103_02N_B2118,Lindley Bridge 2118,Bridge,Bridge,2012/10/02,02N,P103,5.70,27.91,-25.93,2022/06/30,118990.00
P103_02N_B2221,Renosterspruit Bridge 2221,Bridge,Bridge,2012/10/02,02N,P103,12.20,27.88,-25.88,2022/06/30,100000.00
P103_02N_IDB1908,LINDLEY FARM BRIDGE B1,Bridge,Bridge,2012/11/01,02N,P103,8.60,27.90,-25.91,2022/06/30,18360.00
P106_01N_IDC2334,"512 Culvert, Tributary to Sand Rivier",Major Culvert,Culvert Major,2012/11/07,01N,P106,10.57,28.02,-25.67,2022/06/30,0.00
P106_01N_IDC2342,"513 Culvert, on the R513",Major Culvert,Culvert Major,2012/11/07,01N,P106,13.38,27.99,-25.67,2022/06/30,18470.00
P106_01N_IDC2352,"514 Culvert, on the R513",Major Culvert,Culvert Major,2012/11/07,01N,P106,15.93,27.97,-25.67,2022/06/30,375750.00
P106_01N_IDC2414,"515 Culvert, on the R513",Major Culvert,Culvert Major,2012/11/07,01N,P106,17.53,27.95,-25.67,2022/06/30,7560.00
P111_01N_B5025A,Tributory to Loopspruit river C1,Bridge,Bridge Cellular,2012/10/09,01N,P111,2.50,27.58,-26.37,2022/06/30,0.00
P111_01N_B5025B,Tributory to Loopspruit  River C5025B,Bridge,Bridge Cellular,2012/10/09,01N,P111,2.50,27.58,-26.37,2022/06/30,496.00
P111_01N_B5111,Rietfontein Bridge 5111,Bridge,Bridge,2012/10/11,01N,P111,0.70,27.60,-26.37,2022/06/30,26680.00
P119_01N_B2401,Edenvale Road Bridge,Bridge,Bridge,2012/11/05,01N,P119,1.40,28.16,-26.16,2022/06/30,146990.00
P119_01N_B2402A,Shelton Avenue Bridge A,Bridge,Bridge,2012/11/05,01N,P119,4.60,28.19,-26.14,2022/06/30,33950.00
P119_01N_B2402B,Shelton Avenue Bridge B,Bridge,Bridge,2012/11/05,01N,P119,4.60,28.19,-26.14,2022/06/30,19760.00
P119_01N_B2403,Barbara Road Overpass Bridge,Bridge,Bridge,2012/11/15,01N,P119,5.20,28.20,-26.14,2022/06/30,31610.00
P119_01N_B2404,Isando Road Bridge,Bridge,Bridge,2012/11/05,01N,P119,5.60,28.20,-26.13,2022/06/30,104670.00
P119_01N_B5537,Pedestrian Bridge,Bridge,Bridge,2012/11/20,01N,P119,7.75,28.22,-26.13,2022/06/30,18270.00
P119_01N_IDC2537,"Major Culvert close to Kuschke Street, Meadowdale",Major Culvert,Culvert Major,2012/11/15,01N,P119,3.00,28.18,-26.15,2022/06/30,30000.00
P119_01N_IDC2538,"Major culvert close to Shelton Lane, Harmelia",Major Culvert,Culvert Major,2012/11/15,01N,P119,4.40,28.19,-26.14,2022/06/30,15840.00
P122_01N_B1152,Sesmyl River Bridge,Bridge,Bridge,2012/11/06,01N,P122,11.00,28.26,-25.88,2022/06/30,157190.00
P122_01N_IDC1892,STORMWATER CULVERT,Major Culvert,Culvert Major,2012/10/31,01N,P122,5.40,28.25,-25.93,2022/06/30,7500.00
P122_01N_IDC2286,Culvert on Route P122/1 at 16.3km,Major Culvert,Culvert Major,2012/11/06,01N,P122,16.30,28.25,-25.83,2022/06/30,7280.00
P123_01N_B1343,Hartbeesfontein Bridge 1343,Bridge,Bridge,2012/10/03,01N,P123,2.50,27.65,-25.87,2022/06/30,69450.00
P123_01N_B950,Hekpoort Bridge 950,Bridge,Bridge,2012/10/04,01N,P123,8.90,27.60,-25.90,2022/06/30,252500.00
P123_01N_IDC1346,Tributary to Kleinrivier,Major Culvert,Culvert Major,2012/10/23,01N,P123,12.90,27.56,-25.92,2022/06/30,2250.00
P123_01N_IDC1419,Tributary to Kleinriver,Major Culvert,Culvert Major,2012/10/23,01N,P123,15.10,27.55,-25.93,2022/06/30,2520.00
P123_01N_IDC1431,Tributary to Kleinrivier,Major Culvert,Culvert Major,2012/10/23,01N,P123,15.80,27.54,-25.93,2022/06/30,5040.00
P123_01N_IDC1506,Tributary to Kleinrivier,Major Culvert,Culvert Major,2012/10/23,01N,P123,17.00,27.53,-25.94,2022/06/30,15000.00
P123_01N_IDC1720,Tributary to Kleinrivier,Major Culvert,Culvert Major,2012/10/23,01N,P123,13.30,27.56,-25.92,2022/06/30,1080.00
P126_01N_B1183,Hendrik Potgieter Rd (P126-1) over Crocodile River,Bridge,Bridge,2012/11/10,01N,P126,16.20,27.84,-26.06,2022/06/30,83200.00
P126_01N_B1670,Rietspruit Bridge 2,Bridge,Bridge,2012/01/18,13E,N014,97.44,27.72,-26.04,2022/06/30,468600.00
P126_01N_B1953,Honingklip Spruit,Bridge,Bridge,2012/01/18,13E,N014,104.69,27.79,-26.04,2022/06/30,38530.00
P126_01N_B2073,Rietspruit Bridge 1,Bridge,Bridge,2012/01/18,13E,N014,93.95,27.70,-26.06,2022/06/30,2520.00
P126_01N_B4170,Hendrik Potgieter Rd (P126/1) under JG Strijdom Rd (M69),Bridge,Bridge,2012/11/02,01N,P126,3.50,27.92,-26.15,2022/06/30,147850.00
P126_01N_B5409A,Constantia Park Underpass,Bridge,Bridge,2012/11/08,01N,P126,3.10,27.92,-26.15,2022/06/30,10030.00
P126_01N_B5409B,Constantia Park Underpass,Bridge,Bridge,2012/11/08,01N,P126,3.10,27.92,-26.15,2022/06/30,164470.00
P126_01N_B5410A,14th Ave Underpass,Bridge,Bridge,2012/11/08,01N,P126,3.00,27.92,-26.15,2022/06/30,8180.00
P126_01N_B5410B,14th Avenue Underpass,Bridge,Bridge,2012/11/08,01N,P126,3.00,27.93,-26.15,2022/06/30,46340.00
P126_01N_B5411A,Constantia Boulevard Underpass,Bridge,Bridge,2012/11/08,01N,P126,2.80,27.93,-26.15,2022/06/30,14200.00
P126_01N_B5411B,Constantia Boulevard Underpass,Bridge,Bridge,2012/11/08,01N,P126,2.80,27.93,-26.15,2022/06/30,24380.00
P126_01N_B5454A,Hendrik Potgieter Road (P126-1) over Hillfox underpass,Bridge,Bridge,2012/11/01,01N,P126,4.10,27.92,-26.14,2022/06/30,18760.00
P126_01N_B5454B,Hendrik Potgieter Road (P126-1) over Hillfox underpass,Bridge,Bridge,2012/11/01,01N,P126,4.10,27.92,-26.14,2022/06/30,3390.00
P126_01N_B5548A,Hendrik Potgieter Rd (P126-1) under Christiaan De Wet Rd (P139-1),Bridge,Bridge,2012/11/01,01N,P126,6.10,27.91,-26.13,2022/06/30,29940.00
P126_01N_B5548B,Hendrik Potgieter Rd (P126-1) under Christiaan De Wet Rd (P139-1),Bridge,Bridge,2012/11/01,01N,P126,6.10,27.91,-26.13,2022/06/30,25300.00
P126_01N_C1112,Hendrik Potgieter Road (P126-1) over River\Stream,Major Culvert,Culvert Major,2012/11/01,01N,P126,9.60,27.88,-26.11,2022/06/30,3100.00
P126_01N_C2071,Tributory to Rietspruit River,Bridge,Bridge Cellular,2012/10/10,01N,P126,19.10,27.66,-26.07,2022/06/30,2480.00
P126_01N_C4350,Tributory to Rietspruit,Major Culvert,Culvert Major,2012/10/10,01N,P126,6.10,27.77,-26.04,2022/06/30,40320.00
P126_01N_C5261,Hendrik Potgieter Road (P126-1) over River\Stream,Major Culvert,Culvert Major,2012/11/01,01N,P126,7.80,27.90,-26.12,2022/06/30,111690.00
P126_01N_C5536,Tributory to Rietspruit 5536,Major Culvert,Culvert Major,2012/10/10,01N,P126,19.90,27.65,-26.07,2022/06/30,0.00
P126_01N_IDC0535,Tributory to Rietspruit,Major Culvert,Culvert Major,2012/10/10,01N,P126,20.50,27.65,-26.08,2022/06/30,0.00
P126_01N_IDC0543,Tributory to Rietspruit,Major Culvert,Culvert Major,2012/10/10,01N,P126,15.60,27.70,-26.06,2022/06/30,2480.00
P126_01N_IDC0552,Tributory to Rietspruit,Major Culvert,Culvert Major,2012/10/10,01N,P126,7.00,27.76,-26.04,2022/06/30,2480.00
P126_1_B2071,Paardekraal Stormwater,Bridge,Bridge Cellular,2012/01/18,1,P126,109.06,27.83,-26.06,2022/06/30,5910.00
P126_1_B2072,Unknown stream,Bridge,Bridge Cellular,2012/01/18,1,P126,108.15,27.82,-26.05,2022/06/30,1240.00
P126_1_C2072,Rietspruit Tributary,Major Culvert,Culvert Major,2012/01/18,1,P126,104.00,27.73,-26.03,2022/06/30,0.00
P126_1_IDC0002,Rietspruit Tributary - Tarlton,Major Culvert,Culvert Major,2012/01/18,1,P126,93.10,27.65,-26.08,2022/06/30,0.00
P129_01N_C5531,Drainage,Major Culvert,Culvert Major,2012/10/17,01N,P129,4.20,27.76,-26.69,2022/06/30,0.00
P129_01N_IDC1360,Drainage,Major Culvert,Culvert Major,2012/10/17,01N,P129,2.30,27.77,-26.69,2022/06/30,24000.00
P140_01N_B1741,Road over Rail R550 near Silos,Bridge,Bridge,2012/10/13,01N,P140,8.94,28.31,-26.38,2022/06/30,58470.00
P140_01N_B4511,Rail over Road Diana Rd near Glenroy Station,Bridge,Bridge,2012/10/13,01N,P140,4.23,28.28,-26.36,2022/06/30,15860.00
P140_01N_B4512,Rail over Road near Glenroy Station 2,Bridge,Bridge,2012/10/13,01N,P140,4.00,28.28,-26.36,2022/06/30,10760.00
P140_01N_C4585,"Culvert (039), Tributary to Blesbokspruit",Major Culvert,Culvert Major,2012/10/11,01N,P140,15.00,28.37,-26.39,2022/06/30,22260.00
P140_01N_IDC0983,"Culvert (031), Rietspruit",Major Culvert,Culvert Major,2012/10/11,01N,P140,3.90,28.28,-26.36,2022/06/30,15280.00
P151_01N_IDC1886,Eeufees Rd over Tributary,Major Culvert,Culvert Major,2012/10/31,01N,P151,0.70,28.19,-25.78,2022/06/30,16350.00
P155_01N_B3960,-,Bridge,Bridge,2012/10/26,01N,P155,0.30,27.83,-26.75,2022/06/30,84620.00
P155_01N_B3961,-,Bridge,Bridge,2012/10/26,01N,P155,1.50,27.82,-26.74,2022/06/30,166180.00
P155_01N_IDB2051,-,Bridge,Bridge,2012/10/26,01N,P155,10.80,27.79,-26.66,2022/06/30,46760.00
P155_01N_IDC1515,Drainage,Major Culvert,Culvert Major,2012/10/17,01N,P155,5.10,27.81,-26.71,2022/06/30,84920.00
P155_01N_IDC1522,Underpass,Major Culvert,Culvert Major,2012/10/17,01N,P155,11.20,27.78,-26.66,2022/06/30,22500.00
P155_01N_IDC1539,Drainage,Major Culvert,Culvert Major,2012/10/17,01N,P155,11.93,27.78,-26.65,2022/06/30,3000.00
P155_01N_IDC1547,Drainage,Major Culvert,Culvert Major,2012/10/18,01N,P155,11.95,27.78,-26.65,2022/06/30,7500.00
P155_01N_IDC1560,Drainage,Major Culvert,Culvert Major,2012/10/18,01N,P155,12.10,27.78,-26.65,2022/06/30,0.00
P155_01N_IDC1563,Underpass,Major Culvert,Culvert Major,2012/10/18,01N,P155,12.20,27.78,-26.65,2022/06/30,0.00
P155_1_IDB3000,P156/1 (R57) over William Nicol Street,Bridge,Bridge,2012/10/26,01N,P155,2.40,27.82,-26.72,2022/06/30,123600.00
P156_01N_B3060A,Drainage,Bridge,Bridge Cellular,2012/10/14,01N,P156,18.00,28.08,-26.41,2022/06/30,96700.00
P156_01N_B3061,-,Bridge,Bridge,2016/04/25,01N,P156,20.20,28.08,-26.42,2022/06/30,334510.00
P156_01N_B3240A,-,Bridge,Bridge,2012/10/18,01N,P156,4.80,28.10,-26.29,2022/06/30,69140.00
P156_01N_B3240B,Mitchel Road,Bridge,Bridge,2012/10/18,01N,P156,4.80,28.10,-26.29,2022/06/30,27270.00
P156_01N_B3241,Burg Bridge,Bridge,Bridge,2012/10/18,01N,P156,5.80,28.11,-26.30,2022/06/30,109350.00
P156_01N_B3242,-,Bridge,Bridge,2012/10/18,01N,P156,7.10,28.11,-26.31,2022/06/30,203150.00
P156_01N_B3243,-,Bridge,Bridge,2012/10/18,01N,P156,10.10,28.11,-26.33,2022/06/30,450710.00
P156_01N_B3244,-,Bridge,Bridge,2012/10/18,01N,P156,11.00,28.11,-26.34,2022/06/30,441360.00
P156_01N_B3245A,-,Bridge,Bridge,2012/10/18,01N,P156,12.20,28.10,-26.35,2022/06/30,197010.00
P156_01N_B3245B,-,Bridge,Bridge,2012/10/18,01N,P156,12.20,28.10,-26.35,2022/06/30,190430.00
P156_01N_B3246A,-,Bridge,Bridge,2012/10/19,01N,P156,16.20,28.09,-26.38,2022/06/30,41990.00
P156_01N_B3246B,-,Bridge,Bridge,2012/10/19,01N,P156,16.20,28.09,-26.38,2022/06/30,39640.00
P156_01N_B3873,"Heidelberg Rd (M31, P4/1) Ramp to South Rand Rd west (P156/1)",Bridge,Bridge,2012/10/30,01N,P156,1.00,28.11,-26.25,2022/06/30,88370.00
P156_01N_B3874,"Ramp from Heidelberg Road (M31, P4/1) to South Rand Road (P156/1) crossing over Heidelberg Road",Bridge,Bridge,2012/10/30,01N,P156,1.00,28.11,-26.25,2022/06/30,56910.00
P156_01N_B530A,Klip River,Bridge,Bridge,2012/10/19,01N,P156,18.70,28.08,-26.40,2022/06/30,83520.00
P156_01N_B530B,-,Bridge,Bridge,2016/04/25,01N,P156,18.70,28.08,-26.40,2022/06/30,123940.00
P156_01N_B958A,-,Bridge,Bridge,2012/10/19,01N,P156,2.60,28.10,-26.27,2022/06/30,15880.00
P156_01N_B958B,-,Bridge,Bridge,2012/10/19,01N,P156,2.60,28.10,-26.27,2022/06/30,10780.00
P156_01N_BB1055,-,Bridge,Bridge,2012/10/19,01N,P156,2.60,28.10,-26.27,2022/06/30,11530.00
P156_01N_IDC1021,Drainage,Major Culvert,Culvert Major,2012/10/14,01N,P156,10.95,28.11,-26.34,2022/06/30,1890.00
P156_01N_IDC1030,Drainage,Major Culvert,Culvert Major,2012/10/14,01N,P156,11.35,28.10,-26.34,2022/06/30,0.00
P156_02N_B3030,-,Bridge,Bridge,2012/10/21,02N,P156,18.80,28.00,-26.56,2022/06/30,54480.00
P156_02N_B3031A,-,Bridge,Bridge,2012/10/21,02N,P156,19.63,28.00,-26.57,2022/06/30,44510.00
P156_02N_B3031B,-,Bridge,Bridge,2012/10/21,02N,P156,19.63,28.00,-26.57,2022/06/30,62880.00
P156_02N_B3032,-,Bridge,Bridge,2012/10/21,02N,P156,21.60,27.99,-26.59,2022/06/30,11250.00
P156_02N_B3034A,-,Bridge,Bridge,2012/10/21,02N,P156,22.50,27.99,-26.60,2022/06/30,35960.00
P156_02N_B3034B,-,Bridge,Bridge,2012/10/21,02N,P156,22.50,27.99,-26.60,2022/06/30,80570.00
P156_02N_B3036,Drainage,Bridge,Bridge Cellular,2012/10/14,02N,P156,22.80,27.99,-26.60,2022/06/30,1890.00
P156_02N_B3038,-,Bridge,Bridge,2012/10/21,02N,P156,25.30,27.97,-26.62,2022/06/30,747960.00
P156_02N_B3039,Drainage,Bridge,Bridge Cellular,2012/10/14,02N,P156,25.40,27.97,-26.62,2022/06/30,30240.00
P156_02N_B3040,-,Bridge,Bridge,2012/10/21,02N,P156,26.60,27.96,-26.63,2022/06/30,35920.00
P156_02N_B3062,-,Bridge,Bridge,2012/10/19,02N,P156,4.00,28.07,-26.45,2022/06/30,126310.00
P156_02N_B3063A,Klip River,Bridge,Bridge,2012/10/20,02N,P156,4.20,28.07,-26.45,2022/06/30,51650.00
P156_02N_B3063B,Klip River,Bridge,Bridge,2012/10/20,02N,P156,4.20,28.07,-26.45,2022/06/30,73140.00
P156_02N_B3064,-,Bridge,Bridge,2012/10/20,02N,P156,6.50,28.06,-26.47,2022/06/30,288430.00
P156_02N_B3065,-,Bridge,Bridge,2012/10/20,02N,P156,8.50,28.05,-26.49,2022/06/30,42260.00
P156_02N_B3066,-,Bridge,Bridge,2012/10/20,02N,P156,11.90,28.04,-26.52,2022/06/30,257840.00
P156_02N_B3067,-,Bridge,Bridge,2012/10/20,02N,P156,14.38,28.02,-26.53,2022/06/30,55700.00
P156_02N_B3068A,-,Bridge,Bridge,2012/10/20,02N,P156,15.40,28.01,-26.54,2022/06/30,172010.00
P156_02N_B3068B,-,Bridge,Bridge,2012/10/20,02N,P156,15.40,28.01,-26.54,2022/06/30,75300.00
P156_02N_B3069,-,Bridge,Bridge,2012/10/20,02N,P156,16.40,28.01,-26.55,2022/06/30,247300.00
P156_02N_B3165A,-,Bridge,Bridge,2012/10/23,02N,P156,29.20,27.95,-26.64,2022/06/30,355960.00
P156_02N_B3165B,-,Bridge,Bridge,2012/10/23,02N,P156,29.20,27.94,-26.64,2022/06/30,351180.00
P156_02N_B3166A,-,Bridge,Bridge,2012/10/24,02N,P156,30.30,27.94,-26.65,2022/06/30,89650.00
P156_02N_B3166B,-,Bridge,Bridge,2012/10/24,02N,P156,30.30,27.94,-26.65,2022/06/30,573430.00
P156_02N_B3169,-,Bridge,Bridge,2012/10/23,02N,P156,30.30,27.94,-26.65,2022/06/30,80195.00
P156_02N_B3172A,-,Bridge,Bridge,2012/10/24,02N,P156,31.80,27.92,-26.65,2022/06/30,82640.00
P156_02N_B3172B,-,Bridge,Bridge,2012/10/24,02N,P156,31.90,27.92,-26.65,2022/06/30,226650.00
P156_02N_B3173A,-,Bridge,Bridge,2012/10/24,02N,P156,32.35,27.92,-26.66,2022/06/30,45990.00
P156_02N_B3173B,-,Bridge,Bridge,2012/10/24,02N,P156,32.35,27.92,-26.66,2022/06/30,27200.00
P156_02N_B3174A,-,Bridge,Bridge,2012/10/25,02N,P156,32.75,27.92,-26.66,2022/06/30,105810.00
P156_02N_B3174B,-,Bridge,Bridge,2012/10/25,02N,P156,32.75,27.92,-26.66,2022/06/30,96790.00
P156_02N_B3175,-,Bridge,Bridge,2012/10/25,02N,P156,34.44,27.91,-26.67,2022/06/30,30050.00
P156_02N_B3177B,-,Bridge,Bridge,2012/10/25,02N,P156,35.10,27.91,-26.68,2022/06/30,24120.00
P156_02N_B3178,Cellular bridge on R59,Bridge,Bridge Cellular,2016/06/03,2,P156,0.80,27.91,-26.69,2022/06/30,14560.00
P156_02N_B3179,-,Bridge,Bridge,2012/10/25,02N,P156,0.80,27.91,-26.69,2022/06/30,124360.00
P156_02N_B3180,-,Bridge,Bridge,2012/10/25,02N,P156,37.30,27.90,-26.69,2022/06/30,81080.00
P156_02N_B3643,Bridge on Sybrand Van Niekerk Freeway (R59),Bridge,Bridge Cellular,2016/06/03,2,P156,31.80,27.92,-26.65,2022/06/30,7600.00
P156_02N_B3749,-,Bridge,Bridge,2012/10/24,02N,P156,30.30,27.94,-26.65,2022/06/30,48680.00
P156_02N_B4820A,-,Bridge,Bridge,2012/10/25,02N,P156,37.30,27.90,-26.69,2022/06/30,43420.00
P156_02N_B4820B,-,Bridge,Bridge,2012/10/25,02N,P156,37.30,27.90,-26.69,2022/06/30,37300.00
P156_02N_B4821,-,Bridge,Bridge,2012/10/26,02N,P156,37.30,27.90,-26.69,2022/06/30,46440.00
P156_02N_B4822A,-,Bridge,Bridge,2012/10/26,02N,P156,37.30,27.90,-26.70,2022/06/30,32660.00
P156_02N_B4822B,-,Bridge,Bridge,2012/10/26,02N,P156,37.30,27.90,-26.69,2022/06/30,17940.00
P156_02N_B4823,-,Bridge,Bridge,2012/10/26,02N,P156,37.30,27.90,-26.70,2022/06/30,25140.00
P156_02N_IDC1322,Underpass,Major Culvert,Culvert Major,2012/10/14,02N,P156,2.80,28.07,-26.44,2022/06/30,190000.00
P156_02N_IDC1326,Drainage,Major Culvert,Culvert Major,2012/10/14,02N,P156,6.30,28.07,-26.47,2022/06/30,48000.00
P156_02N_IDC1327,Drainage,Major Culvert,Culvert Major,2012/10/14,02N,P156,6.21,28.07,-26.47,2022/06/30,48000.00
P156_02N_IDC1347,Drainage,Major Culvert,Culvert Major,2012/10/14,02N,P156,22.85,27.99,-26.60,2022/06/30,1890.00
P156_03N_B689,Riet River,Bridge,Bridge,2012/10/26,03N,P156,10.85,27.71,-26.74,2022/06/30,39260.00
P156_03N_IDC1650,Drainage,Major Culvert,Culvert Major,2012/10/14,03N,P156,0.20,27.81,-26.71,2022/06/30,7640.00
P156_03N_IDC1653,Drainage,Major Culvert,Culvert Major,2012/10/15,03N,P156,2.10,27.80,-26.71,2022/06/30,17170.00
P156_03N_IDC1656,Drainage,Major Culvert,Culvert Major,2012/10/15,03N,P156,5.30,27.76,-26.72,2022/06/30,12050.00
P156_03N_IDC1660,Drainage,Major Culvert,Culvert Major,2012/10/15,03N,P156,7.20,27.75,-26.73,2022/06/30,12050.00
